"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного обновления полей пользователя при наличии авторизации","580","Изменение данных пользователя с авторизацией","tests","2026-02-15","passed","2026-02-15","TestUpdateUser","test_update_user","",""
"Проверка успешного создания заказа авторизованным пользователем с валидными ингредиентами","3652","Создание заказа с авторизацией и ингредиентами","tests","2026-02-15","passed","2026-02-15","TestCreateOrder","test_create_order","",""
"Проверка ошибки при попытке получить заказы без авторизации","475","Получение заказов неавторизованного пользователя","tests","2026-02-15","passed","2026-02-15","TestGetUserOrders","test_get_orders","",""
"Проверка ошибки при отсутствии одного из обязательных полей","476","Создание пользователя без обязательного поля: {'email': 'no_name@yandex.ru', 'password': 'password123'}","tests","2026-02-15","passed","2026-02-15","TestCreateUser","test_create_user","",""
"Проверка ошибки авторизации с некорректными учетными данными","776","Логин с неверным логином и паролем","tests","2026-02-15","passed","2026-02-15","TestLoginUser","test_login_user","",""
"Проверка ошибки при попытке создать заказ без ингредиентов","482","Создание заказа без ингредиентов","tests","2026-02-15","passed","2026-02-15","TestCreateOrder","test_create_order","",""
"Проверка успешного создания нового пользователя с уникальными данными","0","Создание уникального пользователя","tests","2026-02-15","passed","2026-02-15","TestCreateUser","test_create_user","",""
"Проверка успешного получения списка заказов для авторизованного пользователя","941","Получение заказов авторизованного пользователя","tests","2026-02-15","passed","2026-02-15","TestGetUserOrders","test_get_orders","",""
"Проверка ошибки при попытке создать уже существующего пользователя","467","Создание пользователя, который уже зарегистрирован","tests","2026-02-15","passed","2026-02-15","TestCreateUser","test_create_user","",""
"Проверка ошибки при отсутствии одного из обязательных полей","470","Создание пользователя без обязательного поля: {'email': 'no_pass@yandex.ru', 'name': 'NoPass'}","tests","2026-02-15","passed","2026-02-15","TestCreateUser","test_create_user","",""
"Проверка ошибки при отсутствии одного из обязательных полей","459","Создание пользователя без обязательного поля: {'password': 'password123', 'name': 'NoEmail'}","tests","2026-02-15","passed","2026-02-15","TestCreateUser","test_create_user","",""
"Проверка успешного обновления полей пользователя при наличии авторизации","505","Изменение данных пользователя с авторизацией","tests","2026-02-15","passed","2026-02-15","TestUpdateUser","test_update_user","",""
"Проверка ошибки при попытке обновления данных без токена авторизации","631","Изменение данных пользователя без авторизации","tests","2026-02-15","passed","2026-02-15","TestUpdateUser","test_update_user","",""
"Проверка ошибки при попытке обновления данных без токена авторизации","727","Изменение данных пользователя без авторизации","tests","2026-02-15","passed","2026-02-15","TestUpdateUser","test_update_user","",""
"Проверка ошибки при попытке обновления данных без токена авторизации","851","Изменение данных пользователя без авторизации","tests","2026-02-15","passed","2026-02-15","TestUpdateUser","test_update_user","",""
"Проверка успешной авторизации зарегистрированного пользователя","551","Логин под существующим пользователем","tests","2026-02-15","passed","2026-02-15","TestLoginUser","test_login_user","",""
"Проверка создания заказа неавторизованным пользователем","487","Создание заказа без авторизации, но с ингредиентами","tests","2026-02-15","passed","2026-02-15","TestCreateOrder","test_create_order","",""
"Проверка успешного обновления полей пользователя при наличии авторизации","621","Изменение данных пользователя с авторизацией","tests","2026-02-15","passed","2026-02-15","TestUpdateUser","test_update_user","",""
"Проверка ошибки сервера при передаче невалидного хеша ингредиента","488","Создание заказа с неверным хешем ингредиентов","tests","2026-02-15","passed","2026-02-15","TestCreateOrder","test_create_order","",""
